id,title
30,Pierna Rotaheat
2,Hombro Calor Venom
19,Pierna/Rodilla Presoterapia Recuperación
34,Muñeca/Mano/Brazo/Codo Presoterapia Drenaje
36,Pausa Activa
10,Espalda Baja Calor Venom
24,Espalda Baja/Glúteo Pistola Tensión
14,Pierna Pistola Tensión
6,Brazo/Codo Crioterapia
12,Pierna/Rodilla Presoterapia Drenaje
13,Rodilla Calor Venom
26,Cuello/Hombro Venom Pistola Tensión
7,Muñeca/Mano Crioterapia
1,Cuello Pistola Tensión
8,Muñeca/Mano Pistola Tensión
20,Brazo/Codo Crioterapia Presoterapia
3,Hombro Pistola Tensión
28,Cuello/Hombro/Espalda Alta RotaHeat
15,Pie Pistola Tensión
21,Muñeca/Mano Crioterapia Presoterapia
22,Pierna/Rodilla Crioterapia Presoterapia
35,Elongación Boris (Glúteo Piriforme)
11,Pierna/Rodilla Crioterapia
4,Brazo/Codo Pistola Tensión
17,Tobillo/Pie Crioterapia
27,Espalda Baja Venom Pistola
23,Tobillo/Pie Crioterapia Presoterapia
25,Cuerpo Completo Relajación
18,Hombro Presoterapia
5,Brazo/Codo Presoterapia
31,Espalda Baja Flexibilidad Nivel 1
32,Glúteo Flexibilidad Nivel 1
9,Espalda Baja Presoterapia
16,Hombro Crioterapia
33,Piriforme Flexibilidad Nivel 1
29,Espalda Baja Rotaheat
